Circuit Name,Active Spin Orbitals,TLOS CX Count,TLOS CX Depth
H2_TLOS_sto3g,4,23,23
H4_TLOS_sto3g,8,354,317
LiH_TLOS_sto3g,12,1570,1370
NH_TLOS_sto3g,12,1438,1213
CH2_TLOS_sto3g,14,3422,2820
H2O_TLOS_sto3g,14,2256,1883
H8_TLOS_sto3g,16,6370,5202
NH3_TLOS_sto3g,16,5367,4365
N2_TLOS_sto3g,20,10565,8463
HNO_TLOS_sto3g,22,13818,11016
H2CO_TLOS_sto3g,24,25618,20162
C2H4_TLOS_sto3g,28,60918,48126
CO2_TLOS_sto3g,30,48496,37766
H2_TLOS_631g,8,203,195
H4_TLOS_631g,16,3852,3372
LiH_TLOS_631g,22,9690,8580
NH_TLOS_631g,22,21486,17732
CH2_TLOS_631g,26,37350,31132
H2O_TLOS_631g,26,44632,36470
